Rank,State,Carbon_Dioxide _Emissions,Note: Rankings are based on the full source data values.
1,TX,642,
2,CA,358,
3,PA,245,
4,IL,234,
5,OH,232,
6,FL,228,
7,LA,218,
8,IN,207,
9,NY,170,
10,MI,163,
11,GA,140,
12,KY,139,
13,MO,132,
14,NC,127,
15,AL,123,
16,NJ,114,
17,OK,105,
18,VA,104,
18,TN,104,
20,WI,101,
21,WV,98,
22,MN,95,
23,AZ,93,
24,CO,92,
25,IA,82,
26,SC,75,
27,WA,73,
28,KS,70,
29,AR,69,
30,WY,66,
31,UT,65,
32,MA,64,
32,MS,64,
34,MD,62,
35,ND,59,
36,NE,52,
37,NM,50,
38,OR,38,
39,NV,37,
40,CT,35,
40,AK,35,
42,MT,32,
43,HI,18,
44,ME,17,
44,ID,17,
46,NH,15,
46,SD,15,
48,DE,13,
49,RI,11,
50,VT,6,
51,DC,3,
